class_name,parent_classes,owlready_storid
CatholicChurch,Church|Church,4940
BuddhistTemple,PlaceOfWorship|PlaceOfWorship,4941
RVPark,CivicStructure|CivicStructure,4942
Crematorium,CivicStructure|CivicStructure,4943
Playground,CivicStructure|CivicStructure|AccommodationFeature|CommonArea,4944
GovernmentBuilding,CivicStructure|CivicStructure,4945
Embassy,GovernmentBuilding|GovernmentBuilding,4946
CityHall,GovernmentBuilding|GovernmentBuilding,4947
DefenceEstablishment,GovernmentBuilding|GovernmentBuilding,4948
Courthouse,GovernmentBuilding|GovernmentBuilding,4949
LegislativeBuilding,GovernmentBuilding|GovernmentBuilding,4950
EventVenue,CivicStructure|CivicStructure,4951
MusicVenue,CivicStructure|CivicStructure,4952
Beach,CivicStructure|CivicStructure,4953
BusStation,CivicStructure|CivicStructure,4954
SchoolDistrict,AdministrativeArea|AdministrativeArea,4955
TouristAttraction,TouristLocation|TouristLocation,4956
Loft,LodgingFacility,4961
Apartment,LodgingFacility,4963
Aparthotel,Hotel|Apartment,4965
CountryHouseHotel,Hotel,4967
GuestHouse,House,4969
Bungalow,House,4971
HolidayHome,House,4974
Villa,HolidayHome,4976
Boat,LodgingFacility,4978
HouseBoat,Boat,4980
Botel,Boat,4982
BedAndBreakfast,LodgingFacility,4984
Inn,LodgingFacility,4986
Motel,LodgingFacility,4988
Pension,LodgingFacility,4991
Riad,LodgingFacility,4993
Resort,LodgingFacility,4995
Hostel,LodgingFacility,4996
Hostal,LodgingFacility,4997
CaveHotel,Hotel,4998
CapsuleHotel,Hotel,4999
BunkerHotel,Hotel,5000
UnderWaterHotel,Hotel,5001
TreeHouseHotel,Hotel,5002
IceHotel,Hotel,5003
SharedRoom,Room,5005
MeetingRoom,Room|MeetingRoom,5007
LocationAmenity,Thing,5010
Bathroom,LocationAmenity,5012
Service,LocationAmenity,5014
Accessibility,LocationAmenity,5015
SafetyAndSecurity,LocationAmenity,5016
AmenityArea,LocationAmenity|Place,5017
ChangingRoom,AmenityArea,5019
Equipment,LocationAmenity,5021
CookingEquipment,Equipment,5022
FoodAndDrinks,LocationAmenity,5023
HomeAppliance,Equipment,5025
ChildCare,LocationAmenity,5027
Furniture,LocationAmenity,5029
GameEquipment,Equipment,5031
CommonArea,AmenityArea|Place,5033
HotTub,CommonArea,5035
ShoeShiner,Service,5037
HeatingSystem,HomeAppliance,5039
Gym,CommonArea,5043
TurkishBath,CommonArea,5046
Sauna,CommonArea,5048
SwimmingPool,AmenityArea,5051
FitnessService,Service,5052
KidsService,Service,5053
HairCare,Service,5055
AmusementService,Service,5056
LaundryService,Service,5057
SpokenLanguage,Service,5058
Kettle,AccommodationFeature|CookingEquipment,5059
Terrace,AccommodationFeature|AmenityArea,5060
Kitchen,AccommodationFeature|AmenityArea,5061
Lamp,AccommodationFeature|HomeAppliance,5062
Refrigerator,AccommodationFeature|HomeAppliance,5063
CoffeeMachine,AccommodationFeature|HomeAppliance,5064
AirConditioning,AccommodationFeature|HomeAppliance,5065
Television,AccommodationFeature|HomeAppliance,5066
Iron,AccommodationFeature|HomeAppliance,5067
Telephone,AccommodationFeature|HomeAppliance,5068
Bathtub,AccommodationFeature|BathroomAmenity,5069
BathRobes,AccommodationFeature|BathroomAmenity,5070
Balance,AccommodationFeature|BathroomAmenity,5071
Towel,AccommodationFeature|BathroomAmenity,5072
Toilet,AccommodationFeature|BathroomAmenity,5073
ShowerBath,AccommodationFeature|BathroomAmenity,5074
Tap,AccommodationFeature|BathroomAmenity,5075
HygieneProducts,AccommodationFeature|BathroomAmenity,5076
Sink,AccommodationFeature|BathroomAmenity,5077
Wi-FiZone,AccommodationFeature|CommonArea|CommonArea,5078
GameRoom,AccommodationFeature|CommonArea,5079
LuggageRoom,AccommodationFeature|CommonArea,5080
TobaccoShop,AccommodationFeature|CommonArea,5081
Disco,AccommodationFeature|CommonArea,5082
Stair,AccommodationFeature|CommonArea,5083
ConferenceRoom,AccommodationFeature|CommonArea,5084
Square,AccommodationFeature|CommonArea,5085
SoccerSquare,AccommodationFeature|Square,5086
TennisSquare,AccommodationFeature|Square,5087
Laundry,AccommodationFeature|CommonArea,5088
SmokingArea,AccommodationFeature|CommonArea,5089
Ballroom,AccommodationFeature|CommonArea,5090
Hallway,AccommodationFeature|CommonArea,5091
ReadingLounge,AccommodationFeature|CommonArea,5092
PoolBar,AccommodationFeature|CommonArea,5093
Garden,AccommodationFeature|CommonArea,5094
CheckinService,AccommodationFeature|Service,5095
In-roomBreakfast,AccommodationFeature|Service,5096
CarRental,AccommodationFeature|Service,5097
HouseKeeping,AccommodationFeature|Service,5098
BicycleRental,AccommodationFeature|Service,5099
DrycleaningService,AccommodationFeature|Service,5100
Babysitting,AccommodationFeature|Service,5101
CurrencyExchange,AccommodationFeature|Service,5102
AirportShuttle,AccommodationFeature|Service,5103
ConciergeService,AccommodationFeature|Service,5104
TourDesk,AccommodationFeature|Service,5105
CheckoutService,AccommodationFeature|Service,5106
RoomService,AccommodationFeature|Service,5107
