class_name,parent_classes,owlready_storid
Apartment,LodgingFacility,4913
Aparthotel,Hotel|Apartment,4915
CountryHouseHotel,Hotel,4917
GuestHouse,House,4919
Bungalow,House,4921
HolidayHome,House,4924
Villa,HolidayHome,4926
Boat,LodgingFacility,4928
HouseBoat,Boat,4930
Botel,Boat,4932
BedAndBreakfast,LodgingFacility,4934
Inn,LodgingFacility,4936
Motel,LodgingFacility,4938
Pension,LodgingFacility,4941
Riad,LodgingFacility,4943
Resort,LodgingFacility,4945
Hostal,LodgingFacility,4946
IceHotel,Hotel,4947
CaveHotel,Hotel,4948
CapsuleHotel,Hotel,4949
BunkerHotel,Hotel,4950
UnderWaterHotel,Hotel,4951
TreeHouseHotel,Hotel,4952
Hostel,LodgingFacility,4953
SharedRoom,Room,4955
MeetingRoom,Room|MeetingRoom,4957
LocationAmenity,Thing,4960
Bathroom,LocationAmenity,4962
Service,LocationAmenity,4964
Accessibility,LocationAmenity,4965
SafetyAndSecurity,LocationAmenity,4966
RoomAmenity,LocationAmenity,4967
AmenityArea,LocationAmenity|Place,4968
Equipment,LocationAmenity,4970
GameEquipment,Equipment,4972
CommonArea,AmenityArea|Place,4974
HotTub,CommonArea|CommonArea,4976
ShoeShiner,Service,4978
HeatingSystem,RoomAmenity,4980
Gym,CommonArea|CommonArea,4984
TurkishBath,CommonArea|CommonArea,4987
Sauna,CommonArea|CommonArea,4989
SwimmingPool,AmenityArea,4992
FitnessService,Service,4993
KidsService,Service,4994
HairCare,Service,4996
AmusementService,Service,4997
LaundryService,Service,4998
Curtain,AccommodationFeature|RoomAmenity,4999
CoffeeMachine,AccommodationFeature|RoomAmenity,5000
Wi-FiZone,AccommodationFeature|RoomAmenity|CommonArea|CommonArea|CommonArea,5001
Carpet,AccommodationFeature|RoomAmenity,5002
Wardrobe,AccommodationFeature|RoomAmenity,5003
AirConditioning,AccommodationFeature|RoomAmenity,5004
WallSocket,AccommodationFeature|RoomAmenity,5005
Terrace,AccommodationFeature|RoomAmenity,5006
Television,AccommodationFeature|RoomAmenity,5007
Mattress,AccommodationFeature|RoomAmenity,5008
Telephone,AccommodationFeature|RoomAmenity,5009
Lamp,AccommodationFeature|RoomAmenity,5010
Kettle,AccommodationFeature|RoomAmenity,5011
EletricKettle,AccommodationFeature|Kettle,5012
ManualKettle,AccommodationFeature|Kettle,5013
Snacks,AccommodationFeature|RoomAmenity,5014
Kitchen,AccommodationFeature|RoomAmenity,5015
Refrigerator,AccommodationFeature|RoomAmenity,5016
IroningBoard,AccommodationFeature|RoomAmenity,5017
Pillow,AccommodationFeature|RoomAmenity,5018
Iron,AccommodationFeature|RoomAmenity,5019
SteamIron,AccommodationFeature|Iron,5020
Hanger,AccommodationFeature|RoomAmenity,5021
Mirror,AccommodationFeature|RoomAmenity,5022
Balance,AccommodationFeature|BathroomAmenity,5023
Bathtub,AccommodationFeature|BathroomAmenity,5024
Toilet,AccommodationFeature|BathroomAmenity,5025
Tap,AccommodationFeature|BathroomAmenity,5026
Sink,AccommodationFeature|BathroomAmenity,5027
ShowerBath,AccommodationFeature|BathroomAmenity,5028
HygieneProducts,AccommodationFeature|BathroomAmenity,5029
BathRobes,AccommodationFeature|BathroomAmenity,5030
Towel,AccommodationFeature|BathroomAmenity,5031
Stair,AccommodationFeature|CommonArea|CommonArea,5032
ConferenceRoom,AccommodationFeature|CommonArea|CommonArea,5033
ReadingLounge,AccommodationFeature|CommonArea|CommonArea,5034
Square,AccommodationFeature|CommonArea|CommonArea,5035
SoccerSquare,AccommodationFeature|Square|Square,5036
TennisSquare,AccommodationFeature|Square|Square,5037
Ballroom,AccommodationFeature|CommonArea|CommonArea,5038
SmokingArea,AccommodationFeature|CommonArea|CommonArea,5039
Hallway,AccommodationFeature|CommonArea|CommonArea,5040
LuggageRoom,AccommodationFeature|CommonArea|CommonArea,5041
GameRoom,AccommodationFeature|CommonArea|CommonArea,5042
Laundry,AccommodationFeature|CommonArea|CommonArea,5043
TobaccoShop,AccommodationFeature|CommonArea|CommonArea,5044
Disco,AccommodationFeature|CommonArea|CommonArea,5045
Garden,AccommodationFeature|CommonArea|CommonArea,5046
PoolBar,AccommodationFeature|CommonArea|CommonArea,5047
AirportShuttle,AccommodationFeature|Service,5048
CurrencyExchange,AccommodationFeature|Service,5049
ConciergeService,AccommodationFeature|Service,5050
Guest-chosenDailyNewspaperDelivery,AccommodationFeature|Service,5051
CheckoutService,AccommodationFeature|Service,5052
DrycleaningService,AccommodationFeature|Service,5053
CheckinService,AccommodationFeature|Service,5054
RoomService,AccommodationFeature|Service,5055
CarRental,AccommodationFeature|Service,5056
In-roomBreakfast,AccommodationFeature|Service,5057
BicycleRental,AccommodationFeature|Service,5058
HouseKeeping,AccommodationFeature|Service,5059
Babysitting,AccommodationFeature|Service,5060
TourDesk,AccommodationFeature|Service,5061
HoneymoonSuite,AccommodationFeature|Service,5062
