label,class
tickets to attractions or shows,TicketsToAttractionsOrShows
public transport tickets,PublicTransportTickets
beauty service,BeautyService
body wrap,BodyWrap
make up services,MakeUpServices
body treatments,BodyTreatments
pedicure,Pedicure
waxing services,WaxingServices
facial treatments,FacialTreatments
light therapy,LightTherapy
manicure,Manicure
body scrub,BodyScrub
host greets you,HostGreetsYou
long term stays allowed,LongTermStaysAllowed
self check-in,SelfCheck-In
accessibility,Accessibility
lower bathroom sink,Accessibility
facilities for disabled guests,Accessibility
disabled access,DisabledAccess
entire unit wheelchair accessible,DisabledAccess
visual aids,VisualAids
visual aids (braille),VisualAids
visual aids: tactile signs,VisualAids
visual aids (tactile signs),VisualAids
upper floors accessible by stairs only,UpperFloorsAccessibleByStairsOnly
upper floors accessible by elevator,UpperFloorsAccessibleByElevator
auditory guidance,AuditoryGuidance
entire unit located on ground floor,EntireUnitLocatedOnGroundFloor
safety and security,SafetyAndSecurity
non-smoking throughout,Non-SmokingThroughout
safe,Safe
laptop safe,LaptopSafe
safety deposit box,SafetyDepositBox
carbon monoxide detector,CarbonMonoxideDetector
carbon monoxide alarm,CarbonMonoxideDetector
24-hour security,24-HourSecurity
cctv outside property,CctvOutsideProperty
key card access,KeyCardAccess
smoke alarms,SmokeAlarms
smoke alarm,SmokeAlarms
security alarm,SecurityAlarm
fire extinguishers,FireExtinguishers
cctv in common areas,CctvInCommonAreas
key access,KeyAccess
lock on bedroom door,KeyAccess
private room can be locked for safety and privacy,KeyAccess
keypad,Keypad
check yourself into the home with a door code,Keypad
first aid kit,FirstAidKit
lockbox,Lockbox
smart lock,SmartLock
amenity area,AmenityArea
common area,CommonArea
library,Library
golfcourse,GolfCourse
golf course,GolfCourse
golf courses,GolfCourse
restaurant,Restaurant
restaurant pizzeria,Restaurant
casino,Casino
dayspa,DaySpa
day spa,DaySpa
spa center,DaySpa
spa and wellness centre,DaySpa
spa facilities,DaySpa
spa lounge/relaxation area,SpaLoungeRelaxationArea
beautysalon,BeautySalon
beauty salon,BeautySalon
barber/beauty shop,BeautySalon
hair/beauty salon,BeautySalon
playground,Playground
indoor play area,Playground
children's playground,Playground
parkingfacility,ParkingFacility
parking facility,ParkingFacility
parking,ParkingFacility
parking space,ParkingFacility
parking place,ParkingFacility
car park,ParkingFacility
free parking on premises,ParkingFacility
paid parking garage off premises,ParkingFacility
paid parking on premises,ParkingFacility
paid street parking off premises,ParkingFacility
parking garage,ParkingGarage
secured parking,SecuredParking
secure parking,SecuredParking
street parking,StreetParking
free street parking,StreetParking
accessible parking,AccessibleParking
paid parking off premises,PaidParkingOffPremises
public toilet,PublicToilet
public bath,PublicToilet
hot tub,HotTub
jacuzzi,HotTub
hydromassage jacuzzi,HotTub
gym,Gym
gym in building,Gym
turkish bath,TurkishBath
hammam,TurkishBath
turkish/steam bath,TurkishBath
sauna,Sauna
wellnesscentre,Sauna
game room,GameRoom
games room,GameRoom
tobacco shop,TobaccoShop
smoking area,SmokingArea
wi-fi zone,Wi-FiZone
wifi,Wi-FiZone
paid wifi,Wi-FiZone
wireless internet,Wi-FiZone
pocket wifi,Wi-FiZone
wifi - available throughout the listing,Wi-FiZone
wifi – 1000 mbps - available throughout the listing,Wi-FiZone
disco,Disco
stair,Stair
reading lounge,ReadingLounge
conference room,ConferenceRoom
luggage room,LuggageRoom
luggage storage,LuggageRoom
baggage storage,LuggageRoom
luggage dropoff allowed - for guests' convenience when they have early arrival or late departure,LuggageRoom
ballroom,Ballroom
laundry,Laundry
hall,Hallway
hallway,Hallway
square,Square
soccer square,SoccerSquare
tennis square,TennisSquare
tennis court,TennisSquare
mini golf,MiniGolf
squash,Squash
racquetball,Racquetball
pool bar,PoolBar
garden,Garden
fitness center,FitnessCenter
business center,BusinessCenter
chapel shrine,ChapelShrine
on-site coffee house,On-SiteCoffeeHouse
snack bar,SnackBar
executive lounge access,ExecutiveLoungeAccess
gift shop,GiftShop
designated smoking area,DesignatedSmokingArea
vip room facilities,VipRoomFacilities
sitting area,SittingArea
seating area,SittingArea
changing room,ChangingRoom
dressing room,ChangingRoom
locker room,ChangingRoom
swimming pool,SwimmingPool
pool,SwimmingPool
private pool,PrivatePool
cuisine,Kitchen
kitchen,Kitchen
space where guests can cook their own meals,Kitchen
kitchenette,Kitchenette
shared kitchen,SharedKitchen
balcony,Terrace
terrace,Terrace
patio,Terrace
view terrace,Terrace
sun terrace,Terrace
patio or balcony,Terrace
shared patio or balcony,Terrace
roof terrace,RoofTerrace
veranda,Veranda
barbecue,Barbecue
bbq facilities,Barbecue
bbq grill,Barbecue
living room,LivingRoom
private living room,LivingRoom
dining area,DiningArea
dining room,DiningRoom
living area,LivingArea
shared lounge/tv area,LivingArea
locker rooms,LockerRooms
fitness/spa locker rooms,LockerRooms
vending machine (snacks),VendingMachineSnacks
vending machine (drinks),VendingMachineDrinks
lift,Lift
elevator,Lift
private entrance,PrivateEntrance
private entrance - separate street or building entrance,PrivateEntrance
view,View
garden view,GardenView
inner courtyard view,InnerCourtyardView
landmark view,LandmarkView
outdoor fireplace,OutdoorFireplace
picnic area,PicnicArea
outdoor dining area,OutdoorDiningArea
electric vehicle charging station,ElectricVehicleChargingStation
lockers,Lockers
meeting/banquet facilities,MeetingBanquetFacilities
atm on site,AtmOnSite
atm/cash machine on site,AtmOnSite
internet facilities,InternetFacilities
open-air bath,Open-AirBath
solarium,Solarium
backyard,Backyard
an open space on the property usually covered in grass,Backyard
dedicated workspace,DedicatedWorkspace
lake access,LakeAccess
outdoor shower,OutdoorShower
equipment,Equipment
cooking equipment,CookingEquipment
kettle,Kettle
hot water kettle,Kettle
electric kettle,ElectricKettle
kitchenware,Kitchenware
baking sheet,BakingSheet
cooking basics - pots and pans,CookingBasics-PotsAndPans
dishes and silverware,DishesAndSilverware
wine glasses,WineGlasses
tea maker,TeaMaker
home appliance,HomeAppliance
heating system,HeatingSystem
heating,HeatingSystem
portable heater,PortableHeater
iron,Iron
tv,Television
television,Television
screen tv,Television
"44"" hdtv",Television
tv with standard cable,Television
satellite tv,SatelliteTv
satellite channels,SatelliteTv
pay-per-view channels,Pay-Per-ViewChannels
cable channels,Pay-Per-ViewChannels
amazon prime video,Pay-Per-ViewChannels
netflix,Pay-Per-ViewChannels
flat-screen tv,Flat-ScreenTv
lamp,Lamp
