label,class
terrace,Terrace
patio,Terrace
view terrace,Terrace
sun terrace,Terrace
shared patio or balcony,Terrace
patio or balcony,Terrace
roof terrace,RoofTerrace
carpet,Carpet
tv,Television
television,Television
screen tv,Television
"44"" hdtv",Television
tv with standard cable,Television
satellite tv,SatelliteTv
satellite channels,SatelliteTv
flat-screen tv,Flat-ScreenTv
ac,AirConditioning
aircon,AirConditioning
air conditioning,AirConditioning
gilchrist soames  conditioner,AirConditioning
central air conditioning,AirConditioning
conditioner,AirConditioning
phone,Telephone
telephone,Telephone
snacks,Snacks
sofa,Sofa
oven,Oven
stainless steel oven,Oven
linen,Linen
freezer,Freezer
microwave,Microwave
microwave-oven,Microwave
dishwasher,Dishwasher
washing machine,WashingMachine
washer,WashingMachine
washer – in building,WashingMachine
free washer – in unit,WashingMachine
free washer – in building,WashingMachine
free washer,WashingMachine
bed linen,BedLinen
bed linens,BedLinen
bed sheets,BedLinen
linen towel,LinenTowel
tea maker,TeaMaker
slippers,Slippers
dressing room,DressingRoom
alarm clock,AlarmClock
child safety socket covers,ChildSafetySocketCovers
baby safety gates,BabySafetyGates
bottle of water,BottleOfWater
fan,Fan
portable fans,Fan
ceiling fan,Fan
soundproofing,Soundproofing
carpeted,Carpeted
kitchenware,Kitchenware
cooking basics - pots and pans,CookingBasics-PotsAndPans
dishes and silverware,DishesAndSilverware
baking sheet,BakingSheet
high chair,HighChair
dining table,DiningTable
toaster,Toaster
desk,Desk
dedicated workspace: desk,Desk
dedicated workspace: table,Desk
dedicated workspace: desk and office chair,Desk
fireplace,Fireplace
indoor fireplace,Fireplace
game console,GameConsole
game console ps2,GameConsole
game console ps3,GameConsole
game console - nintendo wii,GameConsole
video games,GameConsole
computer,Computer
laptop,Computer
pay-per-view channels,Pay-Per-ViewChannels
cable channels,Pay-Per-ViewChannels
amazon prime video,Pay-Per-ViewChannels
netflix,Pay-Per-ViewChannels
radio,Radio
‘ruark’ deluxe bluetooth radio bluetooth sound system,Radio
ipod dock,IpodDock
dvd player,DvdPlayer
cd player,CdPlayer
ipad,Ipad
view,View
garden view,GardenView
