entity,sum_tf,parent_class,class,is_amenity,type,selected
palau,10,,,yes,,no
october,10,,,yes,,no
maquis,10,,,yes,,no
june,10,,,yes,,no
hinterland,10,,,yes,,no
hiking,10,,,yes,,no
grove,10,,,yes,,no
freezer,10,HomeAppliance,,yes,new_class,yes
east,10,,,yes,,no
countryside,10,,,yes,,no
world,9,,,yes,,no
vacation,9,,,yes,,no
stairway,9,,,yes,,no
shuttle,9,,,yes,,no
roof,9,,,yes,,no
paradiso,9,,,yes,,no
office,9,,,yes,,no
o,9,,,yes,,no
notice,9,,,yes,,no
minuti,9,,,yes,,no
hob,9,,,yes,,no
gallura,9,,,yes,,no
customer,9,,,yes,,no
cottura,9,,,yes,,no
clock,9,,,yes,,no
casa,9,,,yes,,no
transportation,8,,,yes,,no
tower,8,,,yes,,no
storey,8,,,yes,,no
stintino,8,,,yes,,no
station,8,,,yes,,no
state,8,,,yes,,no
soggiorno,8,,,yes,,no
privato,8,,,yes,,no
pelosa,8,,,yes,,no
p,8,,,yes,,no
osalla,8,,,yes,,no
oasis,8,,,yes,,no
notch,8,,,yes,,no
mt,8,,,yes,,no
ideale,8,,,yes,,no
hairdryer,8,BathroomAmenity,,yes,new_class,yes
gonone,8,,,yes,,no
friend,8,,,yes,,no
diving,8,,,yes,,no
dinner,8,,,yes,,no
design,8,,,yes,,no
conditioning,8,,,yes,,no
budoni,8,,,yes,,no
beauty,8,,,yes,,no
bay,8,,,yes,,no
unit,7,,,yes,,no
trinita,7,,,yes,,no
tree,7,,,yes,,no
tranquility,7,,,yes,,no
tour,7,,,yes,,no
taverna,7,,,yes,,no
stair,7,,,yes,,no
st,7,,,yes,,no
square,7,,,yes,,no
speed,7,,,yes,,no
size,7,,,yes,,no
proximity,7,,,yes,,no
piazzetta,7,,,yes,,no
peninsula,7,,,yes,,no
pantogia,7,,,yes,,no
opportunity,7,,,yes,,no
nibareddu,7,,,yes,,no
netflix,7,,,yes,,no
montepetrosu,7,,,yes,,no
moment,7,,,yes,,no
microwave,7,HomeAppliance,,yes,new_class,yes
meiga,7,,,yes,,no
market,7,,,yes,,no
machine,7,,,yes,,no
lot,7,,,yes,,no
kilometer,7,,,yes,,no
kid,7,,,yes,,no
internet,7,,,yes,,no
ideal,7,,,yes,,no
gallery,7,,,yes,,no
fruit,7,,,yes,,no
flamingo,7,,,yes,,no
euro,7,,,yes,,no
electricity,7,,,yes,,no
dishwasher,7,HomeAppliance,,yes,new_class,yes
desk,7,,,yes,,no
construction,7,,,yes,,no
con,7,,,yes,,no
coffee,7,,,yes,,no
caterina,7,,,yes,,no
cannigione,7,,,yes,,no
cagliari,7,,,yes,,no
café,7,,,yes,,no
bosa,7,,,yes,,no
base,7,,,yes,,no
archipelago,7,,,yes,,no
agultu,7,,,yes,,no
