entity,parent_class,class,is_amenity,type,selected,,
Patio or balcony,,Terrace,yes,label,yes,,
Piano,Furniture,,yes,new_class,yes,,
Pocket wifi,,Wi-FiZone,yes,label,yes,,
Portable fans,,Fan,yes,label,yes,,
Portable heater,HeatingSystem,,yes,new_class,yes,,
Toaster,,Toaster,,same,no,,
Private entrance - Separate street or building entrance,,PrivateEntrance,yes,label,yes,,
Private living room,,LivingRoom,yes,label,yes,,
Private room can be locked for safety and privacy,,KeyAccess,yes,label,yes,,
Rice maker,HomeAppliance,,yes,new_class,yes,,
Room-darkening shades,Equipment,,yes,new_class,yes,,
salt and pepper,FoodAndDrinks,,yes,new_class,yes,,
Iron,,Iron,,same,no,,
Self check-in,Service,,yes,new_class,yes,,
Shared patio or balcony,,Terrace,yes,label,yes,,
TV,,Television,,same,no,,
Shower gel,Soap,,yes,new_class,yes,,
Single induction hob induction stove,Stove,,yes,new_class,yes,,
Smart lock,SafetyAndSecurity,,yes,new_class,yes,,
Smoke alarm,,SmokeAlarms,yes,label,yes,,
Fire extinguisher,,FireExtinguishers,,same,no,,
Sound system,HomeAppliance,,yes,new_class,yes,,
Space where guests can cook their own meals,,Kitchen,yes,label,yes,,
Outdoor dining area,,OutdoorDiningArea,,same,no,,
Stainless steel electric stove,,ElectricStove,yes,label,yes,,
Stainless steel oven,,Oven,yes,label,yes,,
Oven,,Oven,,same,no,,
Suitable for events,Service,,,new_class,no,,
Gym,,Gym,,same,no,,
Suitable for events - The listing can accommodate a gathering of 25 or more attendees,,,,label,no,,
Table corner guards,ChildCare,,yes,new_class,yes,,
Toilet paper,BathroomAmenity,,yes,new_class,yes,,
Trash compactor,HomeAppliance,,yes,new_class,yes,,
Single level home - No stairs in home,,,,,no,,
TV with standard cable,,Television,yes,label,yes,,
walk-in closet,Closet,,yes,new_class,yes,,
Washer,,WashingMachine,yes,label,yes,,
Washer – In building,,WashingMachine,yes,label,yes,,
Wifi - Available throughout the listing,,Wi-FiZone,yes,label,yes,,da rivedere
Wifi – 1000 Mbps - Available throughout the listing,,Wi-FiZone,yes,label,yes,,
Window guards,ChildCare,,yes,new_class,yes,,
Wine glasses,Kitchenware,,yes,new_class,yes,,
