term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
meter,NOUN,sea,NOUN,40,,,meter sea,,,,,no,,,,
group,NOUN,friend,NOUN,39,X,,group friend,,,,,no,,,,
suite,NOUN,bathroom,NOUN,39,X,,en suite bathroom,Bathroom,,yes,new_class,yes,,,,
screen,NOUN,tv,NOUN,38,X,,screen tv,,Television,yes,label,yes,,,,
holiday,NOUN,apartment,NOUN,37,X,,holiday apartment,,Apartment,no,label,yes,,,,
beach,NOUN,sardinia,NOUN,37,,,beach sardinia,,,,,no,,,,
view,NOUN,terrace,NOUN,36,X,,view terrace,,Terrace,yes,label,yes,,,,
apartment,NOUN,bedroom,NOUN,36,,,apartment bedroom,,,,,no,,,,
floor,NOUN,bedroom,NOUN,35,,,floor bedroom,,,,,no,,,,
west,NOUN,coast,NOUN,34,,X,west coast,,,,,no,,,,
bed,NOUN,kitchen,NOUN,34,,,bed kitchen,,,,,no,,,,
bed,NOUN,breakfast,NOUN,34,,,bed breakfast,,,,,no,,,,
west,NOUN,sardinia,NOUN,34,,X,west sardinia,,,,,no,,,,
terrace,NOUN,sea,NOUN,34,,,terrace sea,,,,,no,,,,
parking,NOUN,place,NOUN,34,X,,parking place,,ParkingFacility,yes,label,yes,,,,
holiday,NOUN,house,NOUN,34,X,,holiday house,,HolidayHome,no,label,yes,,,,
family,NOUN,friend,NOUN,33,,,family friend,,,,,no,,,,
view,NOUN,villa,NOUN,33,,,view villa,,,,,no,,,,
tv,NOUN,washing,NOUN,33,,,tv washing,,,,,no,,,,
beach,NOUN,spiaggia,NOUN,33,,,beach spiaggia,,,,,no,,,,
bus,NOUN,station,NOUN,32,X,,bus station,,BusStation,,same,no,,,,BusStation
town,NOUN,centre,NOUN,32,X,,town centre,,CityCenter,no,label,yes,,,,
shower,NOUN,room,NOUN,32,,,shower room,,,,,no,,,,
minute,NOUN,foot,NOUN,32,,,minute foot,,,,,no,,,,
roof,NOUN,terrace,NOUN,31,X,,roof terrace,Terrace,,yes,new_class,yes,,,,
,,,,,,,Sun loungers or beach chairs,Equipment,,yes,new_class,yes,,,,
sun,NOUN,lounger,NOUN,31,X,,sun lounger,SunLoungersOrBeachChairs,,yes,new_class,yes,,,,
room,NOUN,dining,NOUN,31,,,room dining,,,,,no,,,,
car,NOUN,park,NOUN,31,X,,car park,,ParkingFacility,yes,label,yes,,,,
