term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
pelosa,NOUN,beach,NOUN,14,,,pelosa beach,,,,,no,,,,
beach,NOUN,shop,NOUN,14,,,beach shop,,,,,no,,,,
beach,NOUN,budoni,NOUN,14,,,beach budoni,,,,,no,,,,
shower,NOUN,bedroom,NOUN,14,,,shower bedroom,,,,,no,,,,
plan,NOUN,kitchen,NOUN,14,,,plan kitchen,,,,,no,,,,
km,NOUN,villasimius,NOUN,14,,,km villasimius,,,,,no,,,,
storey,NOUN,villa,NOUN,14,,,storey villa,,,,,no,,,,
centre,NOUN,km,NOUN,14,,,centre km,,,,,no,,,,
area,NOUN,kitchen,NOUN,14,,,area kitchen,,,,,no,,,,
cleaning,NOUN,kitchenette,NOUN,14,,,cleaning kitchenette,,,,,no,,,,
communication,NOUN,person,NOUN,14,,,communication person,,,,,no,,,,
week,NOUN,internet,NOUN,14,,,week internet,,,,,no,,,,
internet,NOUN,rental,NOUN,14,,,internet rental,,,,,no,,,,
day,NOUN,person,NOUN,14,,,day person,,,,,no,,,,
isuledda,NOUN,beach,NOUN,14,,,isuledda beach,,,,,no,,,,
sea,NOUN,water,NOUN,14,,,sea water,,,,,no,,,,
santa,NOUN,teresa,PROPN,14,,,santa teresa,,,,,no,,,,
people,NOUN,bedroom,NOUN,13,,,people bedroom,,,,,no,,,,
bosa,NOUN,marina,NOUN,13,,,bosa marina,,,,,no,,,,
supermarket,NOUN,minute,NOUN,13,,,supermarket minute,,,,,no,,,,
costa,NOUN,rei,NOUN,13,,,costa rei,,,,,no,,,,
bathroom,NOUN,floor,NOUN,13,,,bathroom floor,,,,,no,,,,
sant,NOUN,antioco,PROPN,13,,,sant antioco,,,,,no,,,,
east,NOUN,coast,NOUN,13,,,east coast,,,,,no,,,,
km,NOUN,apartment,NOUN,13,,,km apartment,,,,,no,,,,
beach,NOUN,car,NOUN,13,,,beach car,,,,,no,,,,
beach,NOUN,poetto,NOUN,13,,,beach poetto,,,,,no,,,,
beach,NOUN,crystal,NOUN,13,,,beach crystal,,,,,no,,,,
conditioning,NOUN,room,NOUN,13,,,conditioning room,,,,,no,,,,
view,NOUN,gulf,NOUN,13,,,view gulf,,,,,no,,,,
room,NOUN,living,NOUN,13,,,room living,,,,,no,,,,
terrace,NOUN,bbq,NOUN,13,,,terrace bbq,,,,,no,,,,
bath,NOUN,room,NOUN,13,,,bath room,,,,,no,,,,
north,NOUN,coast,NOUN,13,,,north coast,,,,,no,,,,
km,NOUN,porto,PROPN,13,,,km porto,,,,,no,,,,
room,NOUN,sea,NOUN,13,,,room sea,,,,,no,,,,
sea,NOUN,port,NOUN,13,,,sea port,,,,,no,,,,
car,NOUN,beach,NOUN,13,,,car beach,,,,,no,,,,
tavolara,NOUN,island,NOUN,13,,,tavolara island,,,,,no,,,,
shopping,NOUN,facility,NOUN,13,,,shopping facility,,,,,no,,,,
rental,NOUN,verification,NOUN,13,,,rental verification,,,,,no,,,,
verification,NOUN,signal,NOUN,13,,,verification signal,,,,,no,,,,
signal,NOUN,euro,NOUN,13,,,signal euro,,,,,no,,,,
day,NOUN,possibility,NOUN,13,,,day possibility,,,,,no,,,,
bus,NOUN,beach,NOUN,13,,,bus beach,,,,,no,,,,
bed,NOUN,people,NOUN,13,,,bed people,,,,,no,,,,
beach,NOUN,towel,NOUN,13,,,beach towel,,,,,no,,,,
app,NOUN,calendar,NOUN,13,,,app calendar,,,,,no,,,,
pool,NOUN,tennis,NOUN,13,,,pool tennis,,,,,no,,,,
luxury,NOUN,villa,NOUN,13,,,luxury villa,,,,,no,,,,
apartment,NOUN,center,NOUN,13,,,apartment center,,,,,no,,,,
car,NOUN,minute,NOUN,13,,,car minute,,,,,no,,,,
camera,NOUN,matrimoniale,NOUN,13,,,camera matrimoniale,,,,,no,,,,
sardinia,NOUN,minute,NOUN,12,,,sardinia minute,,,,,no,,,,
beach,NOUN,city,NOUN,12,,,beach city,,,,,no,,,,
garden,NOUN,sea,NOUN,12,,,garden sea,,,,,no,,,,
step,NOUN,beach,NOUN,12,,,step beach,,,,,no,,,,
code,NOUN,sa,NOUN,12,,,code sa,,,,,no,,,,
holiday,NOUN,villa,NOUN,12,,,holiday villa,,,,,no,,,,
view,NOUN,garden,NOUN,12,,,view garden,,,,,no,,,,
bedroom,NOUN,air,NOUN,12,,,bedroom air,,,,,no,,,,
water,NOUN,sport,NOUN,12,,,water sport,,,,,no,,,,
town,NOUN,bosa,NOUN,12,,,town bosa,,,,,no,,,,
camera,NOUN,da,NOUN,12,,,camera da,,,,,no,,,,
sea,NOUN,sardinia,NOUN,12,,,sea sardinia,,,,,no,,,,
parking,NOUN,lot,NOUN,12,,,parking lot,,,,,no,,,,
minute,NOUN,bus,NOUN,12,,,minute bus,,,,,no,,,,
city,NOUN,palau,NOUN,12,,,city palau,,,,,no,,,,
car,NOUN,km,NOUN,12,,,car km,,,,,no,,,,
bathroom,NOUN,ground,NOUN,12,,,bathroom ground,,,,,no,,,,
room,NOUN,balcony,NOUN,12,,,room balcony,,,,,no,,,,
sea,NOUN,island,NOUN,12,,,sea island,,,,,no,,,,
bedroom,NOUN,balcony,NOUN,12,,,bedroom balcony,,,,,no,,,,
bus,NOUN,service,NOUN,12,,,bus service,,,,,no,,,,
kitchen,NOUN,utensil,NOUN,12,,,kitchen utensil,,,,,no,,,,
beach,NOUN,pelosa,NOUN,12,,,beach pelosa,,,,,no,,,,
sant,NOUN,anna,NOUN,12,,,sant anna,,,,,no,,,,
internet,NOUN,wi,NOUN,12,,,internet wi,,,,,no,,,,
bathroom,NOUN,equipment,NOUN,12,,,bathroom equipment,,,,,no,,,,
hairdryer,NOUN,iron,NOUN,12,,,hairdryer iron,,,,,no,,,,
beach,NOUN,gulf,NOUN,12,,,beach gulf,,,,,no,,,,
minute,NOUN,porto,PROPN,12,,,minute porto,,,,,no,,,,
booking,NOUN,inquiry,NOUN,12,,,booking inquiry,,,,,no,,,,
area,NOUN,sardinia,NOUN,12,,,area sardinia,,,,,no,,,,
internet,NOUN,connection,NOUN,12,,,internet connection,,,,,no,,,,
floor,NOUN,villa,NOUN,12,,,floor villa,,,,,no,,,,
view,NOUN,apartment,NOUN,12,,,view apartment,,,,,no,,,,
centre,NOUN,palau,NOUN,12,,,centre palau,,,,,no,,,,
apartment,NOUN,beach,NOUN,12,,,apartment beach,,,,,no,,,,
sardinia,NOUN,km,NOUN,12,,,sardinia km,,,,,no,,,,
beach,NOUN,bedroom,NOUN,11,,,beach bedroom,,,,,no,,,,
fruit,NOUN,tree,NOUN,11,,,fruit tree,,,,,no,,,,
kitchen,NOUN,sofa,NOUN,11,,,kitchen sofa,,,,,no,,,,
bedroom,NOUN,bath,NOUN,11,,,bedroom bath,,,,,no,,,,
apartment,NOUN,terrace,NOUN,11,,,apartment terrace,,,,,no,,,,
conditioning,NOUN,tv,NOUN,11,,,conditioning tv,,,,,no,,,,
garden,NOUN,villa,NOUN,11,,,garden villa,,,,,no,,,,
supermarket,NOUN,shop,NOUN,11,,,supermarket shop,,,,,no,,,,
distance,NOUN,sea,NOUN,11,,,distance sea,,,,,no,,,,
terrace,NOUN,dining,NOUN,11,,,terrace dining,,,,,no,,,,
minute,NOUN,cagliari,PROPN,11,,,minute cagliari,,,,,no,,,,
heart,NOUN,cagliari,PROPN,11,,,heart cagliari,,,,,no,,,,
maddalena,PROPN,island,NOUN,11,,,maddalena island,,,,,no,,,,
towel,NOUN,linen,NOUN,11,,,towel linen,,,,,no,,,,
shower,NOUN,kitchen,NOUN,11,,,shower kitchen,,,,,no,,,,
minute,NOUN,sea,NOUN,11,,,minute sea,,,,,no,,,,
parking,NOUN,car,NOUN,11,,,parking car,,,,,no,,,,
house,NOUN,floor,NOUN,11,,,house floor,,,,,no,,,,
floor,NOUN,building,NOUN,11,,,floor building,,,,,no,,,,
view,NOUN,meter,NOUN,11,,,view meter,,,,,no,,,,
lido,NOUN,beach,NOUN,11,,,lido beach,,,,,no,,,,
bar,NOUN,shop,NOUN,11,,,bar shop,,,,,no,,,,
complex,NOUN,apartment,NOUN,11,,,complex apartment,,,,,no,,,,
person,NOUN,bedlinen,NOUN,11,,,person bedlinen,,,,,no,,,,
area,NOUN,kitchenette,NOUN,11,,,area kitchenette,,,,,no,,,,
area,NOUN,barbecue,NOUN,11,,,area barbecue,,,,,no,,,,
santa,NOUN,caterina,NOUN,11,,,santa caterina,,,,,no,,,,
seaside,NOUN,village,NOUN,11,,,seaside village,,,,,no,,,,
cuglieri,NOUN,province,NOUN,11,,,cuglieri province,,,,,no,,,,
maria,NOUN,pia,PROPN,11,,,maria pia,,,,,no,,,,
apartment,NOUN,minute,NOUN,11,,,apartment minute,,,,,no,,,,
garden,NOUN,apartment,NOUN,11,,,garden apartment,,,,,no,,,,
marina,NOUN,piazzetta,NOUN,11,,,marina piazzetta,,,,,no,,,,
family,NOUN,holiday,NOUN,11,,,family holiday,,,,,no,,,,
baby,NOUN,cot,NOUN,11,,,baby cot,,,,,no,,,,
fishing,NOUN,boat,NOUN,11,,,fishing boat,,,,,no,,,,
province,NOUN,oristano,PROPN,11,,,province oristano,,,,,no,,,,
granite,NOUN,rock,NOUN,11,,,granite rock,,,,,no,,,,
cervo,NOUN,km,NOUN,11,,,cervo km,,,,,no,,,,
floor,NOUN,living,NOUN,11,,,floor living,,,,,no,,,,
day,NOUN,period,NOUN,11,,,day period,,,,,no,,,,
period,NOUN,day,NOUN,11,,,period day,,,,,no,,,,
mt,NOUN,beach,NOUN,11,,,mt beach,,,,,no,,,,
center,NOUN,village,NOUN,11,,,center village,,,,,no,,,,
room,NOUN,king,NOUN,11,,,room king,,,,,no,,,,
supermarket,NOUN,km,NOUN,11,,,supermarket km,,,,,no,,,,
sink,NOUN,toilet,NOUN,11,,,sink toilet,,,,,no,,,,
lounge,NOUN,dining,NOUN,11,,,lounge dining,,,,,no,,,,
view,NOUN,mountain,NOUN,11,,,view mountain,,,,,no,,,,
camera,NOUN,doppia,NOUN,11,,,camera doppia,,,,,no,,,,
breakfast,NOUN,lunch,NOUN,10,,,breakfast lunch,,,,,no,,,,
cagliari,NOUN,minute,NOUN,10,,,cagliari minute,,,,,no,,,,
view,NOUN,house,NOUN,10,,,view house,,,,,no,,,,
couple,NOUN,child,NOUN,10,,,couple child,,,,,no,,,,
min,NOUN,bus,NOUN,10,,,min bus,,,,,no,,,,
floor,NOUN,elevator,NOUN,10,,,floor elevator,,,,,no,,,,
couple,NOUN,friend,NOUN,10,,,couple friend,,,,,no,,,,
location,NOUN,km,NOUN,10,,,location km,,,,,no,,,,
floor,NOUN,holiday,NOUN,10,,,floor holiday,,,,,no,,,,
piazza,NOUN,yenne,NOUN,10,,,piazza yenne,,,,,no,,,,
beach,NOUN,step,NOUN,10,,,beach step,,,,,no,,,,
room,NOUN,bunk,NOUN,10,,,room bunk,,,,,no,,,,
metre,NOUN,beach,NOUN,10,,,metre beach,,,,,no,,,,
heart,NOUN,city,NOUN,10,,,heart city,,,,,no,,,,
center,NOUN,cagliari,NOUN,10,,,center cagliari,,,,,no,,,,
san,NOUN,paolo,NOUN,10,,,san paolo,,,,,no,,,,
kitchen,NOUN,tv,NOUN,10,,,kitchen tv,,,,,no,,,,
wifi,NOUN,air,NOUN,10,,,wifi air,,,,,no,,,,
mt,NOUN,sea,NOUN,10,,,mt sea,,,,,no,,,,
view,NOUN,minute,NOUN,10,,,view minute,,,,,no,,,,
room,NOUN,veranda,NOUN,10,,,room veranda,,,,,no,,,,
pool,NOUN,patio,NOUN,10,,,pool patio,,,,,no,,,,
bidet,NOUN,shower,NOUN,10,,,bidet shower,,,,,no,,,,
apartment,NOUN,living,NOUN,10,,,apartment living,,,,,no,,,,
balcony,NOUN,sea,NOUN,10,,,balcony sea,,,,,no,,,,
salina,NOUN,bamba,NOUN,10,,,salina bamba,,,,,no,,,,
beach,NOUN,west,NOUN,10,,,beach west,,,,,no,,,,
oristano,NOUN,km,NOUN,10,,,oristano km,,,,,no,,,,
km,NOUN,santa,NOUN,10,,,km santa,,,,,no,,,,
beach,NOUN,arena,NOUN,10,,,beach arena,,,,,no,,,,
kitchen,NOUN,washing,NOUN,10,,,kitchen washing,,,,,no,,,,
piazzetta,NOUN,shop,NOUN,10,,,piazzetta shop,,,,,no,,,,
sa,NOUN,distance,NOUN,10,,,sa distance,,,,,no,,,,
kitchen,NOUN,fridge,NOUN,10,,,kitchen fridge,,,,,no,,,,
heart,NOUN,alghero,NOUN,10,,,heart alghero,,,,,no,,,,
porto,PROPN,torre,NOUN,10,,,porto torre,,,,,no,,,,
kitchen,NOUN,corner,NOUN,10,,,kitchen corner,,,,,no,,,,
bedroom,NOUN,queen,NOUN,10,,,bedroom queen,,,,,no,,,,
pool,NOUN,bar,NOUN,10,,,pool bar,,,,,no,,,,
villa,NOUN,bedroom,NOUN,10,,,villa bedroom,,,,,no,,,,
countryside,NOUN,minute,NOUN,10,,,countryside minute,,,,,no,,,,
pine,NOUN,tree,NOUN,10,,,pine tree,,,,,no,,,,
minute,NOUN,airport,NOUN,10,,,minute airport,,,,,no,,,,
plenty,NOUN,space,NOUN,10,,,plenty space,,,,,no,,,,
baia,NOUN,sant,NOUN,10,,,baia sant,,,,,no,,,,
bed,NOUN,ground,NOUN,10,,,bed ground,,,,,no,,,,
shower,NOUN,bathroom,NOUN,10,,,shower bathroom,,,,,no,,,,
villa,NOUN,floor,NOUN,10,,,villa floor,,,,,no,,,,
bed,NOUN,possibility,NOUN,10,,,bed possibility,,,,,no,,,,
moment,NOUN,relaxation,NOUN,10,,,moment relaxation,,,,,no,,,,
cala,NOUN,cartoe,NOUN,10,,,cala cartoe,,,,,no,,,,
example,NOUN,hiking,NOUN,10,,,example hiking,,,,,no,,,,
place,NOUN,house,NOUN,10,,,place house,,,,,no,,,,
al,PROPN,piano,NOUN,10,,,al piano,,,,,no,,,,
car,NOUN,bike,NOUN,10,,,car bike,,,,,no,,,,
villa,NOUN,meter,NOUN,10,,,villa meter,,,,,no,,,,
tourist,NOUN,attraction,NOUN,10,,,tourist attraction,,,,,no,,,,
vacation,NOUN,home,NOUN,10,,,vacation home,,,,,no,,,,
house,NOUN,living,NOUN,10,,,house living,,,,,no,,,,
beach,NOUN,lu,PROPN,10,,,beach lu,,,,,no,,,,
port,NOUN,city,NOUN,10,,,port city,,,,,no,,,,
bathroom,NOUN,veranda,NOUN,10,,,bathroom veranda,,,,,no,,,,
machine,NOUN,air,NOUN,10,,,machine air,,,,,no,,,,
beach,NOUN,bus,NOUN,10,,,beach bus,,,,,no,,,,
arrival,NOUN,phone,NOUN,10,,,arrival phone,,,,,no,,,,
shop,NOUN,supermarket,NOUN,10,,,shop supermarket,,,,,no,,,,
beach,NOUN,airport,NOUN,10,,,beach airport,,,,,no,,,,
shower,NOUN,living,NOUN,10,,,shower living,,,,,no,,,,
holiday,NOUN,family,NOUN,10,,,holiday family,,,,,no,,,,
piano,NOUN,terra,NOUN,10,,,piano terra,,,,,no,,,,
villa,NOUN,apartment,NOUN,9,,,villa apartment,,,,,no,,,,
sea,NOUN,sand,NOUN,9,,,sea sand,,,,,no,,,,
apartment,NOUN,sea,NOUN,9,,,apartment sea,,,,,no,,,,
sea,NOUN,apartment,NOUN,9,,,sea apartment,,,,,no,,,,
area,NOUN,step,NOUN,9,,,area step,,,,,no,,,,
area,NOUN,table,NOUN,9,,,area table,,,,,no,,,,
residence,NOUN,pool,NOUN,9,,,residence pool,,,,,no,,,,
adult,NOUN,child,NOUN,9,,,adult child,,,,,no,,,,
people,NOUN,bathroom,NOUN,9,,,people bathroom,,,,,no,,,,
playground,NOUN,child,NOUN,9,,,playground child,,,,,no,,,,
sardinia,NOUN,sea,NOUN,9,,,sardinia sea,,,,,no,,,,
plan,NOUN,living,NOUN,9,,,plan living,,,,,no,,,,
garden,NOUN,patio,NOUN,9,,,garden patio,,,,,no,,,,
nature,NOUN,lover,NOUN,9,,,nature lover,,,,,no,,,,
peace,NOUN,tranquility,NOUN,9,,,peace tranquility,,,,,no,,,,
town,NOUN,house,NOUN,9,,,town house,,,,,no,,,,
sitting,NOUN,room,NOUN,9,,,sitting room,,,,,no,,,,
breakfast,NOUN,room,NOUN,9,,,breakfast room,,,,,no,,,,
day,NOUN,night,NOUN,9,,,day night,,,,,no,,,,
shower,NOUN,garden,NOUN,9,,,shower garden,,,,,no,,,,
dishwasher,NOUN,oven,NOUN,9,,,dishwasher oven,,,,,no,,,,
fresco,NOUN,dining,NOUN,9,,,fresco dining,,,,,no,,,,
town,NOUN,minute,NOUN,9,,,town minute,,,,,no,,,,
pia,PROPN,beach,NOUN,9,,,pia beach,,,,,no,,,,
village,NOUN,pittulongu,NOUN,9,,,village pittulongu,,,,,no,,,,
apartment,NOUN,sq,NOUN,9,,,apartment sq,,,,,no,,,,
beach,NOUN,place,NOUN,9,,,beach place,,,,,no,,,,
beach,NOUN,garden,NOUN,9,,,beach garden,,,,,no,,,,
bank,NOUN,post,NOUN,9,,,bank post,,,,,no,,,,
south,NOUN,sardinia,NOUN,9,,,south sardinia,,,,,no,,,,
holiday,NOUN,complex,NOUN,9,,,holiday complex,,,,,no,,,,
cafe,NOUN,restaurant,NOUN,9,,,cafe restaurant,,,,,no,,,,
market,NOUN,restaurant,NOUN,9,,,market restaurant,,,,,no,,,,
veranda,NOUN,sea,NOUN,9,,,veranda sea,,,,,no,,,,
km,NOUN,alghero,NOUN,9,,,km alghero,,,,,no,,,,
apartment,NOUN,building,NOUN,9,,,apartment building,,,,,no,,,,
traffic,NOUN,noise,NOUN,9,,,traffic noise,,,,,no,,,,
bedroom,NOUN,floor,NOUN,9,,,bedroom floor,,,,,no,,,,
centre,NOUN,town,NOUN,9,,,centre town,,,,,no,,,,
coffee,NOUN,maker,NOUN,9,,,coffee maker,,,,,no,,,,
villasimius,NOUN,km,NOUN,9,,,villasimius km,,,,,no,,,,
access,NOUN,garden,NOUN,9,,,access garden,,,,,no,,,,
suite,NOUN,shower,NOUN,9,,,suite shower,,,,,no,,,,
deck,NOUN,chair,NOUN,9,,,deck chair,,,,,no,,,,
oristano,PROPN,west,NOUN,9,,,oristano west,,,,,no,,,,
row,NOUN,house,NOUN,9,,,row house,,,,,no,,,,
shop,NOUN,bus,NOUN,9,,,shop bus,,,,,no,,,,
bed,NOUN,wardrobe,NOUN,9,,,bed wardrobe,,,,,no,,,,
area,NOUN,bed,NOUN,9,,,area bed,,,,,no,,,,
access,NOUN,road,NOUN,9,,,access road,,,,,no,,,,
island,NOUN,sardinia,NOUN,9,,,island sardinia,,,,,no,,,,
matrimoniale,NOUN,camera,NOUN,9,,,matrimoniale camera,,,,,no,,,,
budoni,NOUN,km,NOUN,9,,,budoni km,,,,,no,,,,
ice,NOUN,cream,NOUN,9,,,ice cream,,,,,no,,,,
centre,NOUN,minute,NOUN,9,,,centre minute,,,,,no,,,,
variety,NOUN,restaurant,NOUN,9,,,variety restaurant,,,,,no,,,,
osalla,NOUN,cala,NOUN,9,,,osalla cala,,,,,no,,,,
october,NOUN,security,NOUN,9,,,october security,,,,,no,,,,
stay,NOUN,june,NOUN,9,,,stay june,,,,,no,,,,
towel,NOUN,sheet,NOUN,9,,,towel sheet,,,,,no,,,,
cost,NOUN,euro,NOUN,9,,,cost euro,,,,,no,,,,
pool,NOUN,wifi,NOUN,9,,,pool wifi,,,,,no,,,,
garden,NOUN,pool,NOUN,9,,,garden pool,,,,,no,,,,
mari,PROPN,ermi,NOUN,9,,,mari ermi,,,,,no,,,,
restaurant,NOUN,minute,NOUN,9,,,restaurant minute,,,,,no,,,,
mountain,NOUN,sea,NOUN,9,,,mountain sea,,,,,no,,,,
house,NOUN,level,NOUN,9,,,house level,,,,,no,,,,
distance,NOUN,minute,NOUN,9,,,distance minute,,,,,no,,,,
piazza,NOUN,matteotti,NOUN,9,,,piazza matteotti,,,,,no,,,,
garden,NOUN,swimming,NOUN,9,,,garden swimming,,,,,no,,,,
centre,NOUN,village,NOUN,9,,,centre village,,,,,no,,,,
view,NOUN,pool,NOUN,9,,,view pool,,,,,no,,,,
o,NOUN,clock,NOUN,9,,,o clock,,,,,no,,,,
charge,NOUN,pet,NOUN,9,,,charge pet,,,,,no,,,,
station,NOUN,bus,NOUN,9,,,station bus,,,,,no,,,,
beach,NOUN,marina,NOUN,9,,,beach marina,,,,,no,,,,
selection,NOUN,restaurant,NOUN,9,,,selection restaurant,,,,,no,,,,
area,NOUN,km,NOUN,9,,,area km,,,,,no,,,,
ceiling,NOUN,fan,NOUN,9,,,ceiling fan,,,,,no,,,,
summer,NOUN,month,NOUN,9,,,summer month,,,,,no,,,,
cala,NOUN,liberotto,NOUN,9,,,cala liberotto,,,,,no,,,,
rena,PROPN,bianca,NOUN,9,,,rena bianca,,,,,no,,,,
area,NOUN,villa,NOUN,9,,,area villa,,,,,no,,,,
terrace,NOUN,house,NOUN,9,,,terrace house,,,,,no,,,,
km,NOUN,accommodation,NOUN,9,,,km accommodation,,,,,no,,,,
person,NOUN,towel,NOUN,9,,,person towel,,,,,no,,,,
kitchen,NOUN,master,NOUN,9,,,kitchen master,,,,,no,,,,
island,NOUN,budelli,NOUN,9,,,island budelli,,,,,no,,,,
total,NOUN,bed,NOUN,9,,,total bed,,,,,no,,,,
kitchenette,NOUN,living,NOUN,8,,,kitchenette living,,,,,no,,,,
pool,NOUN,terrace,NOUN,8,,,pool terrace,,,,,no,,,,
beach,NOUN,bosa,NOUN,8,,,beach bosa,,,,,no,,,,
pool,NOUN,minute,NOUN,8,,,pool minute,,,,,no,,,,
guest,NOUN,access,NOUN,8,,,guest access,,,,,no,,,,
place,NOUN,sardinia,NOUN,8,,,place sardinia,,,,,no,,,,
sardinia,NOUN,apartment,NOUN,8,,,sardinia apartment,,,,,no,,,,
conditioning,NOUN,wifi,NOUN,8,,,conditioning wifi,,,,,no,,,,
notch,NOUN,design,NOUN,8,,,notch design,,,,,no,,,,
state,NOUN,art,NOUN,8,,,state art,,,,,no,,,,
art,NOUN,adsl,NOUN,8,,,art adsl,,,,,no,,,,
adsl,NOUN,internet,NOUN,8,,,adsl internet,,,,,no,,,,
terrace,NOUN,floor,NOUN,8,,,terrace floor,,,,,no,,,,
garden,NOUN,bedroom,NOUN,8,,,garden bedroom,,,,,no,,,,
drive,NOUN,house,NOUN,8,,,drive house,,,,,no,,,,
alfresco,NOUN,dining,NOUN,8,,,alfresco dining,,,,,no,,,,
restaurant,NOUN,cafe,NOUN,8,,,restaurant cafe,,,,,no,,,,
city,NOUN,cagliari,PROPN,8,,,city cagliari,,,,,no,,,,
relaxation,NOUN,area,NOUN,8,,,relaxation area,,,,,no,,,,
floor,NOUN,kitchen,NOUN,8,,,floor kitchen,,,,,no,,,,
center,NOUN,city,NOUN,8,,,center city,,,,,no,,,,
conditioning,NOUN,bedroom,NOUN,8,,,conditioning bedroom,,,,,no,,,,
garden,NOUN,olive,NOUN,8,,,garden olive,,,,,no,,,,
house,NOUN,beach,NOUN,8,,,house beach,,,,,no,,,,
person,NOUN,night,NOUN,8,,,person night,,,,,no,,,,
room,NOUN,people,NOUN,8,,,room people,,,,,no,,,,
shower,NOUN,wc,NOUN,8,,,shower wc,,,,,no,,,,
wifi,NOUN,internet,NOUN,8,,,wifi internet,,,,,no,,,,
tea,NOUN,coffee,NOUN,8,,,tea coffee,,,,,no,,,,
floor,NOUN,lift,NOUN,8,,,floor lift,,,,,no,,,,
town,NOUN,beach,NOUN,8,,,town beach,,,,,no,,,,
bathroom,NOUN,villa,NOUN,8,,,bathroom villa,,,,,no,,,,
city,NOUN,oristano,NOUN,8,,,city oristano,,,,,no,,,,
bank,NOUN,pharmacy,NOUN,8,,,bank pharmacy,,,,,no,,,,
arena,NOUN,km,NOUN,8,,,arena km,,,,,no,,,,
beach,NOUN,sinis,NOUN,8,,,beach sinis,,,,,no,,,,
municipality,NOUN,cuglieri,NOUN,8,,,municipality cuglieri,,,,,no,,,,
table,NOUN,people,NOUN,8,,,table people,,,,,no,,,,
alghero,NOUN,airport,NOUN,8,,,alghero airport,,,,,no,,,,
sofa,NOUN,kitchen,NOUN,8,,,sofa kitchen,,,,,no,,,,
street,NOUN,parking,NOUN,8,,,street parking,,,,,no,,,,
km,NOUN,puntaldia,NOUN,8,,,km puntaldia,,,,,no,,,,
shop,NOUN,café,NOUN,8,,,shop café,,,,,no,,,,
café,NOUN,restaurant,NOUN,8,,,café restaurant,,,,,no,,,,
teodoro,NOUN,km,NOUN,8,,,teodoro km,,,,,no,,,,
outdoor,NOUN,shower,NOUN,8,,,outdoor shower,,,,,no,,,,
village,NOUN,km,NOUN,8,,,village km,,,,,no,,,,
isola,NOUN,rossa,NOUN,8,,,isola rossa,,,,,no,,,,
breakfast,NOUN,dinner,NOUN,8,,,breakfast dinner,,,,,no,,,,
town,NOUN,stintino,NOUN,8,,,town stintino,,,,,no,,,,
family,NOUN,vacation,NOUN,8,,,family vacation,,,,,no,,,,
tv,NOUN,room,NOUN,8,,,tv room,,,,,no,,,,
village,NOUN,swimming,NOUN,8,,,village swimming,,,,,no,,,,
pedestrian,NOUN,area,NOUN,8,,,pedestrian area,,,,,no,,,,
east,NOUN,sardinia,NOUN,8,,,east sardinia,,,,,no,,,,
beach,NOUN,metre,NOUN,8,,,beach metre,,,,,no,,,,
cagliari,PROPN,km,NOUN,8,,,cagliari km,,,,,no,,,,
restaurant,NOUN,market,NOUN,8,,,restaurant market,,,,,no,,,,
bathroom,NOUN,sink,NOUN,8,,,bathroom sink,,,,,no,,,,
bar,NOUN,supermarket,NOUN,8,,,bar supermarket,,,,,no,,,,
tanaunella,NOUN,km,NOUN,8,,,tanaunella km,,,,,no,,,,
beach,NOUN,town,NOUN,8,,,beach town,,,,,no,,,,
attention,NOUN,detail,NOUN,8,,,attention detail,,,,,no,,,,
guest,NOUN,bathroom,NOUN,8,,,guest bathroom,,,,,no,,,,
con,NOUN,vista,NOUN,8,,,con vista,,,,,no,,,,
location,NOUN,cala,PROPN,8,,,location cala,,,,,no,,,,
cartoe,NOUN,example,NOUN,8,,,cartoe example,,,,,no,,,,
view,NOUN,coast,NOUN,8,,,view coast,,,,,no,,,,
airport,NOUN,port,NOUN,8,,,airport port,,,,,no,,,,
porto,PROPN,taverna,NOUN,8,,,porto taverna,,,,,no,,,,
bike,NOUN,minute,NOUN,8,,,bike minute,,,,,no,,,,
gas,NOUN,water,NOUN,8,,,gas water,,,,,no,,,,
shopping,NOUN,area,NOUN,8,,,shopping area,,,,,no,,,,
vacation,NOUN,rental,NOUN,8,,,vacation rental,,,,,no,,,,
view,NOUN,bedroom,NOUN,8,,,view bedroom,,,,,no,,,,
market,NOUN,bar,NOUN,8,,,market bar,,,,,no,,,,
sun,NOUN,bed,NOUN,8,,,sun bed,,,,,no,,,,
fi,NOUN,connection,NOUN,8,,,fi connection,,,,,no,,,,
beach,NOUN,coast,NOUN,8,,,beach coast,,,,,no,,,,
centre,NOUN,cagliari,PROPN,8,,,centre cagliari,,,,,no,,,,
gas,NOUN,cooker,NOUN,8,,,gas cooker,,,,,no,,,,
restaurant,NOUN,min,NOUN,8,,,restaurant min,,,,,no,,,,
beach,NOUN,north,NOUN,8,,,beach north,,,,,no,,,,
parcheggio,NOUN,privato,NOUN,8,,,parcheggio privato,,,,,no,,,,
conca,NOUN,verde,PROPN,8,,,conca verde,,,,,no,,,,
bathroom,NOUN,bath,NOUN,8,,,bathroom bath,,,,,no,,,,
people,NOUN,house,NOUN,8,,,people house,,,,,no,,,,
gas,NOUN,stove,NOUN,8,,,gas stove,,,,,no,,,,
oven,NOUN,microwave,NOUN,8,,,oven microwave,,,,,no,,,,
nature,NOUN,sea,NOUN,8,,,nature sea,,,,,no,,,,
