entity,service_type,parent_class,class,type,selected,Note
Fitness/spa locker rooms,wellness_facilities,,,,no,repetition
Massage,wellness_facilities,"InternalFacility, SpaCentre","SpaCentre, Massage",same,no,
Foot bath,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Open-air bath,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Solarium,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Make up services,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Hand massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Neck massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Body Treatments,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Pedicure,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Waxing services,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Facial treatments,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Head massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Light therapy,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Hair colouring,wellness_facilities,"AccommodationFeature, InternalFacility",,new_class,yes,
Fitness centre,wellness_facilities,,,,no,repetition
Couples massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Back massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Manicure,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Hot tub/jacuzzi,wellness_facilities,,,,no,repetition
Massage chair,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Fitness classes,wellness_facilities,"SpaCentre, FitnessCenter",,new_class,yes,
Yoga classes,wellness_facilities,"SpaCentre, FitnessCenter",,new_class,yes,
Sauna,wellness_facilities,,,,no,repetition
Steam room,wellness_facilities,,,,no,repetition
Sun loungers or beach chairs,wellness_facilities,"SpaCentre, FitnessCenter",,new_class,yes,
Public Bath,wellness_facilities,"AccommodationFeature, InternalFacility",,new_class,yes,
Fitness,wellness_facilities,,,,no,
Foot massage,wellness_facilities,"SpaCentre, Massage",,new_class,yes,
Spa Facilities,wellness_facilities,,"InternalFacility, SpaCentre",label,yes,
Hammam,wellness_facilities,,,,no,repetition
Sun umbrellas,wellness_facilities,"AccommodationFeature, ExternalFacility",,new_class,yes,
Body scrub,wellness_facilities,"InternalFacility, SpaCentre",,new_class,yes,
Pool/beach towels,wellness_facilities,"AccommodationFeature, SwimmingPool",,new_class,yes,
Hair cut,wellness_facilities,"AccommodationFeature, InternalFacility",,new_class,yes,
